date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-07-06,sh.600183,30.9400,32.0000,30.6500,31.5000,30.7000,67773336,2125972551.0000,3,2.966600,1,2.605900,0
2020-07-07,sh.600183,31.6000,32.8000,31.5800,31.7800,31.5000,69673504,2239703271.0000,3,3.049800,1,0.888900,0
2020-07-08,sh.600183,31.6000,32.6600,31.1300,32.4300,31.7800,62705531,1994392536.0000,3,2.744800,1,2.045300,0
2020-07-09,sh.600183,32.2700,34.9600,32.1600,34.2800,32.4300,75336243,2538358372.0000,3,3.297700,1,5.704600,0
2020-07-10,sh.600183,33.8000,34.1200,32.6400,33.1000,34.2800,61973485,2065841941.0000,3,2.712800,1,-3.442200,0
2020-07-13,sh.600183,33.3500,35.2700,33.3000,34.8200,33.1000,65393243,2235704179.0000,3,2.862500,1,5.196400,0
2020-07-14,sh.600183,34.9200,34.9200,32.6500,33.4000,34.8200,56422136,1899053542.0000,3,2.469800,1,-4.078100,0
2020-07-15,sh.600183,33.2000,33.5000,30.8800,31.0000,33.4000,75083746,2377537562.0000,3,3.286600,1,-7.185600,0
2020-07-16,sh.600183,31.4300,31.4800,28.7300,29.2300,31.0000,57324774,1724202685.0000,3,2.509300,1,-5.709700,0
2020-07-17,sh.600183,29.2400,29.4800,28.3800,29.0000,29.2300,41486968,1204562625.0000,3,1.816000,1,-0.786900,0
2020-07-20,sh.600183,29.3000,29.7900,28.6000,29.7500,29.0000,30622376,898335869.0000,3,1.340400,1,2.586200,0
2020-07-21,sh.600183,29.8300,30.2800,29.3600,29.8700,29.7500,28416023,847017474.0700,3,1.243900,1,0.403400,0
2020-07-22,sh.600183,29.8200,30.4500,29.4800,29.8900,29.8700,33928304,1016949472.3000,3,1.485100,1,0.067000,0
2020-07-23,sh.600183,29.5900,29.7400,28.4100,28.9000,29.8900,45667774,1320827425.0200,3,1.999000,1,-3.312100,0
2020-07-24,sh.600183,28.5500,28.9700,26.7500,27.1700,28.9000,51949613,1440613275.3000,3,2.274000,1,-5.986200,0
2020-07-27,sh.600183,27.3000,27.5000,26.5600,27.0000,27.1700,26440083,714112114.3100,3,1.157400,1,-0.625700,0
2020-07-28,sh.600183,27.4000,27.7500,26.9800,27.2100,27.0000,25425307,693050974.2900,3,1.112900,1,0.777800,0
2020-07-29,sh.600183,28.4000,28.9400,27.8900,28.8000,27.2100,53727522,1530812721.9800,3,2.351800,1,5.843400,0
2020-07-30,sh.600183,28.8900,29.0900,28.2100,28.5100,28.8000,36747868,1049001158.3300,3,1.608600,1,-1.006900,0
2020-07-31,sh.600183,28.3800,29.3300,28.3300,28.7700,28.5100,34533250,997183150.9500,3,1.511600,1,0.912000,0
2020-08-03,sh.600183,29.0200,29.4800,28.8800,29.2700,28.7700,38826474,1132499274.6400,3,1.699600,1,1.737900,0
2020-08-04,sh.600183,29.3300,29.4600,28.3800,28.5900,29.2700,42670347,1228642444.9800,3,1.867800,1,-2.323200,0
2020-08-05,sh.600183,29.0900,29.2500,28.5000,28.6200,28.5900,28463538,819500709.5600,3,1.245900,1,0.104900,0
2020-08-06,sh.600183,28.5800,28.5800,27.8900,28.2200,28.6200,29708971,836125908.4000,3,1.300500,1,-1.397600,0
2020-08-07,sh.600183,28.2200,28.4200,27.0800,27.5200,28.2200,33812902,933538209.9000,3,1.480100,1,-2.480500,0
2020-08-10,sh.600183,27.4600,28.0300,27.0900,27.9000,27.5200,27744462,765542058.4300,3,1.214500,1,1.380800,0
2020-08-11,sh.600183,27.7300,28.2100,27.6100,27.6900,27.9000,26722809,746283182.9300,3,1.169700,1,-0.752700,0
2020-08-12,sh.600183,27.7100,28.0000,27.0100,27.9900,27.6900,26644052,729996790.1200,3,1.166300,1,1.083400,0
2020-08-13,sh.600183,28.2100,28.4000,27.8100,27.8800,27.9900,22499075,632098378.9600,3,0.984900,1,-0.393000,0
2020-08-14,sh.600183,27.9900,28.0900,27.6200,28.0100,27.8800,19373677,540142813.0200,3,0.848000,1,0.466300,0
2020-08-17,sh.600183,27.9800,28.6800,27.8800,28.5200,28.0100,32130780,910186612.2000,3,1.406500,1,1.820800,0
2020-08-18,sh.600183,28.5200,28.5500,27.8800,28.0100,28.5200,38499713,1082803839.9800,3,1.685300,1,-1.788200,0
2020-08-19,sh.600183,27.9700,27.9700,27.0000,27.0300,28.0100,43998972,1199346539.8700,3,1.926000,1,-3.498800,0
2020-08-20,sh.600183,26.8500,27.1700,26.2100,26.4200,27.0300,40350418,1073725092.1200,3,1.766300,1,-2.256800,0
2020-08-21,sh.600183,26.5900,26.6800,24.7900,24.9400,26.4200,81237287,2070212638.0400,3,3.556000,1,-5.601800,0
2020-08-24,sh.600183,24.8900,25.5000,24.0200,25.2000,24.9400,44105521,1096260233.0000,3,1.930600,1,1.042500,0
2020-08-25,sh.600183,25.2100,25.6900,25.0400,25.6000,25.2000,29386482,749147102.8500,3,1.286300,1,1.587300,0
2020-08-26,sh.600183,25.5200,25.5200,24.5100,24.5900,25.6000,32528992,808472670.8300,3,1.423900,1,-3.945300,0
2020-08-27,sh.600183,24.5300,24.8200,24.2500,24.7100,24.5900,19172936,471411611.7300,3,0.839300,1,0.488000,0
2020-08-28,sh.600183,24.7300,25.0800,24.2200,25.0700,24.7100,27886576,686750468.9900,3,1.220700,1,1.456900,0
2020-08-31,sh.600183,25.1000,25.4800,24.7700,24.8100,25.0700,31551022,793641094.0200,3,1.381100,1,-1.037100,0
2020-09-01,sh.600183,25.0000,25.2500,24.9700,25.1100,24.8100,22235105,558000038.0200,3,0.973300,1,1.209200,0
2020-09-02,sh.600183,25.2500,25.2800,24.8500,25.0200,25.1100,19001197,475375949.9600,3,0.831700,1,-0.358400,0
2020-09-03,sh.600183,25.0300,25.0900,24.3100,24.5400,25.0200,27982559,686640359.6400,3,1.224900,1,-1.918500,0
2020-09-04,sh.600183,24.1100,24.9600,24.0100,24.7300,24.5400,23518701,578765194.5500,3,1.029500,1,0.774200,0
2020-09-07,sh.600183,24.7300,24.9100,24.2800,24.3400,24.7300,19662283,483086417.1700,3,0.860700,1,-1.577000,0
2020-09-08,sh.600183,24.3000,24.3800,23.3500,23.5300,24.3400,32963060,782808044.3600,3,1.442900,1,-3.327900,0
2020-09-09,sh.600183,23.1500,23.1500,22.1800,22.4000,23.5300,36210688,818152621.7900,3,1.585100,1,-4.802400,0
2020-09-10,sh.600183,22.8700,23.4000,22.4100,22.5500,22.4000,33407167,766487912.9900,3,1.462300,1,0.669600,0
2020-09-11,sh.600183,22.5100,22.8700,22.1900,22.7300,22.5500,24806411,558421743.8600,3,1.085900,1,0.798200,0
2020-09-14,sh.600183,22.8400,23.1400,22.8400,23.0000,22.7300,18776589,431784417.4000,3,0.821900,1,1.187900,0
2020-09-15,sh.600183,22.9300,23.1400,22.6100,22.9800,23.0000,15609829,357108594.7900,3,0.683300,1,-0.087000,0
2020-09-16,sh.600183,22.9400,23.1000,22.5100,22.5800,22.9800,14788737,336258001.7700,3,0.647300,1,-1.740600,0
2020-09-17,sh.600183,22.5800,24.5700,22.2900,23.9600,22.5800,47626991,1125912640.5300,3,2.084800,1,6.111600,0
2020-09-18,sh.600183,23.8900,24.0600,23.3700,23.9900,23.9600,33138434,787575333.8800,3,1.450600,1,0.125200,0
2020-09-21,sh.600183,24.3700,24.9200,24.1300,24.3400,23.9900,34813406,855391329.4700,3,1.523900,1,1.458900,0
2020-09-22,sh.600183,23.8700,24.7100,23.8700,24.1800,24.3400,22330866,543648611.1300,3,0.977500,1,-0.657400,0
2020-09-23,sh.600183,24.2800,24.3400,23.7700,23.9600,24.1800,17422560,418149412.3100,3,0.762600,1,-0.909800,0
2020-09-24,sh.600183,23.7100,24.0100,23.5200,23.6800,23.9600,18834329,446759581.0700,3,0.824400,1,-1.168600,0
2020-09-25,sh.600183,24.2700,24.2900,23.2400,23.5000,23.6800,16415551,387575404.4500,3,0.718600,1,-0.760100,0
2020-09-28,sh.600183,23.5000,23.6500,23.0200,23.1100,23.5000,12572970,292103297.8300,3,0.550400,1,-1.659600,0
2020-09-29,sh.600183,23.2700,23.6300,23.1800,23.4200,23.1100,14371984,336914143.8300,3,0.629100,1,1.341400,0
2020-09-30,sh.600183,23.4200,23.6200,23.2200,23.3200,23.4200,12134843,284362264.4800,3,0.531200,1,-0.427000,0
2020-10-09,sh.600183,23.9900,24.7100,23.7800,24.4900,23.3200,27576598,672108805.4200,3,1.207100,1,5.017200,0
2020-10-12,sh.600183,24.8400,25.3800,24.7200,25.2400,24.4900,31907560,800553724.9400,3,1.393400,1,3.062500,0
2020-10-13,sh.600183,25.2400,25.2500,24.8800,25.0700,25.2400,18396094,459914387.9300,3,0.803300,1,-0.673500,0
2020-10-14,sh.600183,24.9100,24.9500,24.6300,24.6900,25.0700,16195192,400462646.3800,3,0.707200,1,-1.515800,0
2020-10-15,sh.600183,24.6900,24.8500,24.4500,24.6500,24.6900,13079790,321841354.8800,3,0.571200,1,-0.162000,0
2020-10-16,sh.600183,24.4600,24.5900,24.2100,24.3400,24.6500,13163766,320519409.1700,3,0.574800,1,-1.257600,0
2020-10-19,sh.600183,24.5000,24.8500,24.4500,24.6000,24.3400,16777629,413232392.1800,3,0.732700,1,1.068200,0
2020-10-20,sh.600183,24.4500,24.6400,24.3400,24.6200,24.6000,9083871,222573632.5100,3,0.396700,1,0.081300,0
2020-10-21,sh.600183,24.7000,24.7100,24.1100,24.2400,24.6200,10470740,254222274.6700,3,0.457200,1,-1.543500,0
2020-10-22,sh.600183,24.1200,24.1200,23.7000,23.9400,24.2400,12116977,289502699.9700,3,0.529100,1,-1.237600,0
2020-10-23,sh.600183,23.8800,24.1500,23.1000,23.2000,23.9400,15583471,366368709.0200,3,0.680500,1,-3.091100,0
2020-10-26,sh.600183,23.0000,23.5400,22.6200,23.0500,23.2000,15449976,356939564.6800,3,0.674700,1,-0.646600,0
2020-10-27,sh.600183,23.0500,23.2400,22.7800,22.9200,23.0500,14045618,322356989.4300,3,0.613400,1,-0.564000,0
2020-10-28,sh.600183,22.9000,23.5700,22.5800,23.4700,22.9200,20441815,472379228.5600,3,0.892700,1,2.399700,0
2020-10-29,sh.600183,23.1100,24.3300,23.0200,23.9300,23.4700,24464848,585984568.0500,3,1.068400,1,1.959900,0
2020-10-30,sh.600183,23.9300,24.3200,23.7000,23.9100,23.9300,19467848,466639198.1500,3,0.850100,1,-0.083600,0
2020-11-02,sh.600183,23.8500,24.0100,23.3000,23.6400,23.9100,17908847,424158514.4000,3,0.782100,1,-1.129200,0
2020-11-03,sh.600183,23.6500,24.8600,23.6500,24.7200,23.6400,35006789,861301521.7500,3,1.528700,1,4.568500,0
2020-11-04,sh.600183,24.7400,24.7900,24.2000,24.4600,24.7200,21169262,518448350.2200,3,0.924400,1,-1.051800,0
2020-11-05,sh.600183,24.7700,26.7900,24.7700,26.3900,24.4600,81173858,2107074815.0100,3,3.544800,1,7.890400,0
2020-11-06,sh.600183,26.3900,26.7500,26.1900,26.6200,26.3900,55058641,1460010646.8900,3,2.404300,1,0.871500,0
2020-11-09,sh.600183,27.0700,28.5800,27.0700,27.9300,26.6200,80914997,2270541371.3100,3,3.533500,1,4.921100,0
2020-11-10,sh.600183,27.9600,28.0000,27.2000,27.6200,27.9300,30780591,848753458.5900,3,1.344200,1,-1.109900,0
2020-11-11,sh.600183,27.6200,28.0800,26.6500,26.7200,27.6200,39300038,1065754715.3700,3,1.716200,1,-3.258500,0
2020-11-12,sh.600183,27.0000,28.2700,26.8100,27.8200,26.7200,48012048,1330747441.5000,3,2.096600,1,4.116800,0
2020-11-13,sh.600183,27.7000,28.6000,27.5500,28.5400,27.8200,50141831,1418911186.2900,3,2.189600,1,2.588100,0
2020-11-16,sh.600183,28.6500,29.1100,27.4000,27.4400,28.5400,52185647,1460523236.6300,3,2.278900,1,-3.854200,0
2020-11-17,sh.600183,27.5300,28.3200,26.6500,28.1300,27.4400,42976966,1181837953.6300,3,1.876800,1,2.514600,0
2020-11-18,sh.600183,27.7300,28.1400,27.1500,27.3300,28.1300,30664122,846734542.9000,3,1.339100,1,-2.843900,0
2020-11-19,sh.600183,27.0800,27.4500,26.7000,27.3200,27.3300,22467621,607918883.0100,3,0.981100,1,-0.036600,0
2020-11-20,sh.600183,27.0000,27.0000,26.1500,26.4600,27.3200,33692114,891063863.0400,3,1.471300,1,-3.147900,0
2020-11-23,sh.600183,26.3500,27.1000,26.0500,26.6300,26.4600,23762262,631371738.2400,3,1.037700,1,0.642500,0
2020-11-24,sh.600183,26.6500,27.2100,26.4500,26.9300,26.6300,21032447,566358335.1000,3,0.918500,1,1.126500,0
2020-11-25,sh.600183,26.9900,27.3100,26.5000,26.5000,26.9300,20632262,555190039.2500,3,0.901000,1,-1.596700,0
2020-11-26,sh.600183,26.5000,26.9900,26.3000,26.8300,26.5000,16243170,435319730.5900,3,0.709300,1,1.245300,0
2020-11-27,sh.600183,26.8500,27.6900,26.5000,27.5800,26.8300,30483977,830237310.8700,3,1.331200,1,2.795400,0
2020-11-30,sh.600183,27.5900,28.5000,27.3400,27.9100,27.5800,35693179,1006077202.2000,3,1.558700,1,1.196500,0
2020-12-01,sh.600183,28.0000,28.4100,27.7100,28.2400,27.9100,24708918,696044091.7600,3,1.079000,1,1.182400,0
2020-12-02,sh.600183,28.3900,28.6500,27.8300,28.3000,28.2400,24216489,684006770.4800,3,1.057500,1,0.212500,0
2020-12-03,sh.600183,28.7100,29.0000,28.4100,28.7500,28.3000,29731247,857009181.1900,3,1.298300,1,1.590100,0
2020-12-04,sh.600183,29.0800,30.2000,29.0800,29.4300,28.7500,49298579,1465006291.0200,3,2.152800,1,2.365200,0
2020-12-07,sh.600183,29.8800,30.4600,29.8800,30.2600,29.4300,45183899,1367088043.0200,3,1.973100,1,2.820300,0
2020-12-08,sh.600183,29.6000,29.9500,28.7000,29.1000,30.2600,41802060,1221772958.6200,3,1.825400,1,-3.833400,0
2020-12-09,sh.600183,28.8300,29.6800,28.5700,28.5900,29.1000,34317050,1000083950.8400,3,1.498600,1,-1.752600,0
2020-12-10,sh.600183,28.3400,28.5900,27.8100,27.9600,28.5900,31574469,889342243.5800,3,1.378800,1,-2.203600,0
2020-12-11,sh.600183,27.7700,28.3000,26.9100,27.1500,27.9600,32124998,882116860.2000,3,1.402900,1,-2.897000,0
2020-12-14,sh.600183,27.5000,27.8500,27.2000,27.5800,27.1500,17065420,470580706.4300,3,0.745200,1,1.583800,0
2020-12-15,sh.600183,27.4000,27.7100,26.9800,27.5700,27.5800,17556036,480642030.9700,3,0.766700,1,-0.036300,0
2020-12-16,sh.600183,27.6000,27.6500,26.5300,26.7500,27.5700,22669552,609498442.7100,3,0.990000,1,-2.974200,0
2020-12-17,sh.600183,26.7000,26.9200,26.4100,26.8500,26.7500,18843848,502240170.5000,3,0.822900,1,0.373800,0
2020-12-18,sh.600183,27.0700,27.5800,26.8000,27.0000,26.8500,22028443,598219498.7800,3,0.962000,1,0.558700,0
2020-12-21,sh.600183,26.8300,27.7100,26.6300,27.1800,27.0000,27652900,753021803.7300,3,1.207600,1,0.666700,0
2020-12-22,sh.600183,26.9000,27.0000,26.0000,26.0300,27.1800,23725471,627783299.2700,3,1.036100,1,-4.231100,0
2020-12-23,sh.600183,26.3500,26.3800,25.0000,25.4800,26.0300,42059935,1067254221.4700,3,1.836700,1,-2.112900,0
2020-12-24,sh.600183,25.5300,26.2800,25.4800,25.5300,25.4800,21802621,562524467.0400,3,0.952100,1,0.196200,0
2020-12-25,sh.600183,25.5400,27.6400,25.5300,27.5000,25.5300,40586759,1091263536.8500,3,1.772400,1,7.716400,0
2020-12-28,sh.600183,27.3000,28.6600,27.2600,28.1600,27.5000,36886423,1038064670.4600,3,1.610800,1,2.400000,0
2020-12-29,sh.600183,28.0500,28.1100,27.3800,27.7200,28.1600,27446965,762046592.7900,3,1.198600,1,-1.562500,0
2020-12-30,sh.600183,27.6000,28.4400,27.5200,28.0900,27.7200,29848552,837217068.1000,3,1.303500,1,1.334800,0
2020-12-31,sh.600183,28.2000,28.4800,27.7000,28.1600,28.0900,23654660,666296114.4900,3,1.033000,1,0.249200,0
